stop_ids,stop_lat,stop_lon,stop_name
['5684'],37.78849,-122.40248,Market St & Montgomery St
"['3216', '3217']",37.760322,-122.46605149999999,9th Ave & Kirkham St
"['5077', '5078']",37.8018855,-122.4196135,Hyde St & Lombard St
['6020'],37.785906,-122.426654,Post St & Octavia St
['6124'],37.786174,-122.424761,Post St & Gough St
"['3849', '3851', '7444']",37.793189,-122.39992733333334,California St & Battery St
"['5121', '5122']",37.7641235,-122.464158,Irving St & 7th Ave
['6920'],37.794042,-122.414693,Washington St & Jones St
"['6739', '6740', '6741', '6742', '6743', '6901']",37.74099449999999,-122.46572166666668,West Portal Station
"['6219', '6220']",37.7310885,-122.474358,Right Of Way/Eucalyptus Dr
"['5852', '5853']",37.7964805,-122.410083,Pacific Ave & Powell St
"['3254', '3255', '7316']",37.76774133333333,-122.42907133333334,14th St & Church St
"['4501', '4502', '7076', '7284']",37.806743,-122.405985,The Embarcadero & Bay St
"['3703', '5580', '5581']",37.73346633333333,-122.426784,Bosworth St & Mission St
['4529'],37.805022,-122.403314,The Embarcadero & Sansome St
['5227'],37.75443,-122.402485,Kansas St & 23rd St
"['5090', '5091']",37.797423,-122.4187015,Hyde St & Vallejo St
"['4885', '4886', '4887', '5592', '5593', '7671']",37.7165145,-122.44100966666666,Geneva Ave & Mission St
"['5059', '5060']",37.804786,-122.4201805,Hyde St & Bay St
"['6265', '6266', '7115', '7116']",37.71617325,-122.45037975,San Jose Ave & Lakeview Ave
"['5195', '5196', '7081']",37.762002333333335,-122.46945666666666,Judah St & 12th Ave
"['3914', '3915', '6476', '6477']",37.765434,-122.452762,Carl St & Stanyan St
"['5764', '5765', '6539', '6540']",37.75343075,-122.49519325,Noriega St & Sunset Blvd
"['3924', '3925']",37.773354,-122.50787600000001,Cabrillo St & 47th Ave
"['3570', '3571']",37.775223999999994,-122.505878,45th Ave & Balboa St
['5836'],37.77281,-122.41917,Otis St & 12th St
"['3791', '6569', '7297', '7396', '7398']",37.7089498,-122.40509219999998,Bay Shore Blvd & Sunnydale Ave
"['5677', '5678']",37.787685,-122.40339499999999,Market St & Kearny St
"['6189', '6190', '7761']",37.76616666666667,-122.40267266666667,Rhode Island St & 16th St
"['4896', '4898', '6260', '6261', '6262', '6263', '6347', '7108', '7778']",37.72070366666666,-122.4467052222222,Geneva Ave & San Jose Ave
['7795'],37.789677,-122.388535,The Embarcadero&Harrsion St NE-FS/PS
"['4866', '5154']",37.794752,-122.416373,Leavenworth St & Jackson St
"['5492', '5877', '5878', '7756']",37.7350975,-122.3928,Newhall St & Palou Ave
"['6316', '6522']",37.7933345,-122.407726,Sacramento St & Stockton St
"['4572', '5586']",37.7262585,-122.4335435,Excelsior Ave & Mission St
"['7358', '7359']",37.772912500000004,-122.389717,Third Street & Mission Rock St
"['6090', '6091']",37.789075,-122.44715,Presidio Ave & Clay St
"['3499', '4748', '4749']",37.772608999999996,-122.48423366666667,25th Ave & Fulton St
['3724'],37.77795,-122.39995,Bryant St & 5th St
"['3238', '3239']",37.7705255,-122.412398,11th St & Harrison St
"['3894', '6326', '6327']",37.793209999999995,-122.40109566666666,California St & Sansome St
['6826'],37.789509,-122.422304,Van Ness Ave & Pine St
